Date,Open,High,Low,Close,Adj Close,Volume
2023-04-12,20481.529297,20494.810547,20236.919922,20309.859375,20309.859375,2351926700
2023-04-13,19977.960938,20344.480469,19885.529297,20344.480469,20344.480469,2329727600
2023-04-14,20422.720703,20482.679688,20297.160156,20438.810547,20438.810547,2086262200
2023-04-17,20374.509766,20864.740234,20299.150391,20782.449219,20782.449219,3411232600
2023-04-18,20643.410156,20742.390625,20559.080078,20650.509766,20650.509766,2349659000
2023-04-19,20633.000000,20633.000000,20336.710938,20367.759766,20367.759766,2183749600
2023-04-20,20354.830078,20472.500000,20308.330078,20396.970703,20396.970703,2047181600
2023-04-21,20330.150391,20378.900391,19974.910156,20075.730469,20075.730469,2494223900
2023-04-24,20049.869141,20146.369141,19734.679688,19959.939453,19959.939453,2247902000
2023-04-25,19903.529297,19910.279297,19527.630859,19617.880859,19617.880859,2196274500
2023-04-26,19520.970703,19903.730469,19520.970703,19757.269531,19757.269531,1941042600
2023-04-27,19736.349609,19880.289063,19662.599609,19840.279297,19840.279297,2150454000
2023-04-28,19936.019531,20167.880859,19879.070313,19894.570313,19894.570313,2574855500
2023-05-02,20122.900391,20286.460938,19761.130859,19933.810547,19933.810547,1459412900
2023-05-03,19686.150391,19721.960938,19538.720703,19699.160156,19699.160156,1460653600
2023-05-04,19695.730469,19979.769531,19695.730469,19948.730469,19948.730469,3206294300
2023-05-05,20061.000000,20208.750000,19968.410156,20049.310547,20049.310547,3321243000
2023-05-08,20128.179688,20321.740234,20081.699219,20297.029297,20297.029297,4288098900
2023-05-09,20252.130859,20297.830078,19817.779297,19867.580078,19867.580078,4037919400
2023-05-10,19860.500000,19880.029297,19696.589844,19762.199219,19762.199219,2779518700
2023-05-11,19842.980469,19854.490234,19567.619141,19743.789063,19743.789063,2213792400
2023-05-12,19850.839844,19853.369141,19596.490234,19627.240234,19627.240234,2284179000
2023-05-15,19525.060547,20063.349609,19498.039063,19971.130859,19971.130859,2580074400
2023-05-16,20183.279297,20183.279297,19891.490234,19978.250000,19978.250000,1720897700
2023-05-17,19956.130859,19987.929688,19538.089844,19560.570313,19560.570313,2258030500
2023-05-18,19702.730469,19894.230469,19630.759766,19727.250000,19727.250000,2095394100
2023-05-19,19535.490234,19610.720703,19352.810547,19450.570313,19450.570313,1947230900
2023-05-22,19479.060547,19806.439453,19410.070313,19678.169922,19678.169922,1677939600
2023-05-23,19713.460938,19769.140625,19363.500000,19431.250000,19431.250000,1888538600
2023-05-24,19279.390625,19304.199219,19046.800781,19115.929688,19115.929688,2476667200
2023-05-25,18930.230469,18930.230469,18620.839844,18746.919922,18746.919922,2792438700
2023-05-29,18827.080078,18879.089844,18517.859375,18551.109375,18551.109375,2196594700
2023-05-30,18574.189453,18666.710938,18369.929688,18595.779297,18595.779297,2244980000
2023-05-31,18415.000000,18415.000000,18044.859375,18234.269531,18234.269531,4372923700
2023-06-01,18190.269531,18465.640625,18190.269531,18216.910156,18216.910156,2622765000
2023-06-02,18566.810547,19024.910156,18548.300781,18949.939453,18949.939453,3731528000
2023-06-05,19014.960938,19123.800781,18896.130859,19108.500000,19108.500000,2096394500
2023-06-06,19117.109375,19377.380859,19033.849609,19099.279297,19099.279297,2263636600
2023-06-07,19327.150391,19410.480469,19196.089844,19252.000000,19252.000000,2156059100
2023-06-08,19227.839844,19339.820313,19087.660156,19299.179688,19299.179688,2212103200
2023-06-09,19333.429688,19463.609375,19231.130859,19389.949219,19389.949219,2003013400
2023-06-12,19440.990234,19440.990234,19255.650391,19404.310547,19404.310547,1688193100
2023-06-13,19355.650391,19572.419922,19273.419922,19521.419922,19521.419922,2466291700
2023-06-14,19547.580078,19641.160156,19352.339844,19408.419922,19408.419922,2482612800
2023-06-15,19626.800781,19832.199219,19510.759766,19828.919922,19828.919922,2657480300
2023-06-16,19915.439453,20155.919922,19876.419922,20040.369141,20040.369141,3582368700
2023-06-19,19983.400391,20000.220703,19718.429688,19912.890625,19912.890625,1906054300
2023-06-20,19863.859375,19863.859375,19504.630859,19607.080078,19607.080078,2121671900
2023-06-21,19305.240234,19377.689453,19174.160156,19218.349609,19218.349609,1995615900
2023-06-23,19135.019531,19138.419922,18800.339844,18889.970703,18889.970703,1689313400
2023-06-26,18845.900391,19001.619141,18767.150391,18794.130859,18794.130859,2066052200
2023-06-27,18851.660156,19226.320313,18842.419922,19148.130859,19148.130859,2059536300
2023-06-28,19099.390625,19222.130859,19019.259766,19172.050781,19172.050781,1675196500
2023-06-29,19180.279297,19180.279297,18837.320313,18934.359375,18934.359375,1690353400
2023-06-30,18881.429688,19070.109375,18838.619141,18916.429688,18916.429688,1869555200
2023-07-03,19002.550781,19371.710938,19002.550781,19306.589844,19306.589844,2214447500
2023-07-04,19289.060547,19449.109375,19253.220703,19415.679688,19415.679688,1987401200
2023-07-05,19355.060547,19378.900391,19095.599609,19110.380859,19110.380859,2432611100
2023-07-06,18840.410156,18973.009766,18483.080078,18533.050781,18533.050781,3277132300
2023-07-07,18435.460938,18537.750000,18279.730469,18365.699219,18365.699219,2463266100
2023-07-10,18747.500000,18781.210938,18417.630859,18479.720703,18479.720703,1953461500
2023-07-11,18671.419922,18806.550781,18573.669922,18659.830078,18659.830078,2114932400
2023-07-12,18797.009766,18932.179688,18739.599609,18860.949219,18860.949219,1818311800
2023-07-13,19181.310547,19368.919922,19163.210938,19350.619141,19350.619141,2729756500
2023-07-14,19534.820313,19534.820313,19364.599609,19413.779297,19413.779297,2460070700
2023-07-18,19324.339844,19324.339844,18979.919922,19015.720703,19015.720703,2591229600
2023-07-19,18826.589844,19004.419922,18711.029297,18952.310547,18952.310547,1982969600
2023-07-20,19003.279297,19215.740234,18888.759766,18928.019531,18928.019531,1807926400
2023-07-21,18918.699219,19169.750000,18886.429688,19075.259766,19075.259766,1637013200
2023-07-24,18867.609375,18946.560547,18562.119141,18668.150391,18668.150391,2212871900
2023-07-25,19172.279297,19465.269531,19111.820313,19434.400391,19434.400391,3670887000
2023-07-26,19340.769531,19404.500000,19245.660156,19365.140625,19365.140625,2136512600
2023-07-27,19502.089844,19685.789063,19482.470703,19639.109375,19639.109375,3028767100
2023-07-28,19418.480469,19940.589844,19381.900391,19916.560547,19916.560547,3094859900
2023-07-31,20237.529297,20361.029297,20019.789063,20078.939453,20078.939453,4327873000
2023-08-01,20211.199219,20331.279297,19891.810547,20011.119141,20011.119141,3013635300
2023-08-02,19902.769531,19981.000000,19475.150391,19517.380859,19517.380859,2958227800
2023-08-03,19404.140625,19650.160156,19369.060547,19420.869141,19420.869141,2488071400
2023-08-04,19671.130859,19857.390625,19461.609375,19539.460938,19539.460938,2771467700
2023-08-07,19474.660156,19581.820313,19352.349609,19537.919922,19537.919922,2277019400
2023-08-08,19308.550781,19370.800781,19112.609375,19184.169922,19184.169922,3491048500
2023-08-09,19059.580078,19270.480469,19056.099609,19246.029297,19246.029297,2264244800
2023-08-10,19125.000000,19315.169922,19030.390625,19248.259766,19248.259766,2598340600
2023-08-11,19319.910156,19346.289063,19049.919922,19075.189453,19075.189453,3363828300
2023-08-14,18697.330078,18792.720703,18554.509766,18773.550781,18773.550781,3890510400
2023-08-15,18599.199219,18745.820313,18513.779297,18581.109375,18581.109375,2668372200
2023-08-16,18356.650391,18440.960938,18261.849609,18329.300781,18329.300781,2823625500
2023-08-17,18023.109375,18399.199219,17900.769531,18326.630859,18326.630859,3160942900
2023-08-18,18208.980469,18336.410156,17936.429688,17950.849609,17950.849609,3049414000
2023-08-21,17798.470703,17867.660156,17587.380859,17623.289063,17623.289063,3141863900
2023-08-22,17641.859375,17965.259766,17573.699219,17791.009766,17791.009766,2895653800
2023-08-23,17762.759766,18000.529297,17730.789063,17845.919922,17845.919922,2499731900
2023-08-24,17992.730469,18272.949219,17945.009766,18212.169922,18212.169922,2758913200
2023-08-25,18037.599609,18137.650391,17969.410156,18119.390625,18119.390625,2467696800
2023-08-28,18519.080078,18564.429688,18113.230469,18130.740234,18130.740234,2985842200
2023-08-29,18261.689453,18583.800781,18239.919922,18484.029297,18484.029297,3071235600
2023-08-30,18659.960938,18742.140625,18427.220703,18482.859375,18482.859375,3288670900
2023-08-31,18580.470703,18667.179688,18312.759766,18382.060547,18382.060547,4074881200
2023-09-04,18592.529297,18899.490234,18575.449219,18844.160156,18844.160156,4040296000
2023-09-05,18717.419922,18725.500000,18431.720703,18456.910156,18456.910156,2315663900
2023-09-06,18405.089844,18492.589844,18256.099609,18449.980469,18449.980469,2352887700
2023-09-07,18437.480469,18437.480469,18173.439453,18202.070313,18202.070313,2123306900
2023-09-11,17941.650391,18164.609375,17842.369141,18096.449219,18096.449219,2522422900
2023-09-12,18015.560547,18145.580078,17892.009766,18025.890625,18025.890625,1887139100
2023-09-13,18131.099609,18200.519531,17954.970703,18009.220703,18009.220703,1865961200
2023-09-14,18101.960938,18173.539063,17928.630859,18047.919922,18047.919922,2013840800
2023-09-15,18154.009766,18372.650391,18030.789063,18182.890625,18182.890625,2781390700
2023-09-18,18069.039063,18114.820313,17894.810547,17930.550781,17930.550781,1691546500
2023-09-19,17942.070313,18004.740234,17832.300781,17997.169922,17997.169922,1778221800
2023-09-20,17939.250000,17995.380859,17833.199219,17885.599609,17885.599609,1657120100
2023-09-21,17795.800781,17823.820313,17623.869141,17655.410156,17655.410156,2046449600
2023-09-22,17578.259766,18078.689453,17573.810547,18057.449219,18057.449219,1924148900
2023-09-25,18046.890625,18046.890625,17722.490234,17729.289063,17729.289063,1552391300
2023-09-26,17661.849609,17718.179688,17379.439453,17466.900391,17466.900391,1909387100
2023-09-27,17472.109375,17655.310547,17472.109375,17611.869141,17611.869141,1571624300
2023-09-28,17587.080078,17627.730469,17352.830078,17373.029297,17373.029297,1997138800
2023-09-29,17484.949219,17935.150391,17482.390625,17809.660156,17809.660156,1839910300
2023-10-03,17546.390625,17546.390625,17212.869141,17331.220703,17331.220703,2102884000
2023-10-04,17266.820313,17266.820313,17094.000000,17195.839844,17195.839844,1294655000
2023-10-05,17249.970703,17336.429688,17197.609375,17213.869141,17213.869141,1088259900
2023-10-06,17370.029297,17603.800781,17370.029297,17485.980469,17485.980469,1141210000
2023-10-09,17500.369141,17633.189453,17447.759766,17517.400391,17517.400391,1221298000
2023-10-10,17726.630859,17916.619141,17638.009766,17664.730469,17664.730469,1596847200
2023-10-11,17956.830078,18022.449219,17889.710938,17893.099609,17893.099609,2029133700
2023-10-12,18258.259766,18290.910156,18175.349609,18238.210938,18238.210938,3861574900
2023-10-13,17946.769531,18013.669922,17776.949219,17813.449219,17813.449219,2139651200
2023-10-16,17803.310547,17858.179688,17601.500000,17640.359375,17640.359375,1904582500
2023-10-17,17806.230469,17815.710938,17671.990234,17773.339844,17773.339844,1730954900
2023-10-18,17728.250000,17831.179688,17625.890625,17732.519531,17732.519531,1937541200
2023-10-19,17540.460938,17540.460938,17292.359375,17295.890625,17295.890625,2272465500
2023-10-20,17127.259766,17309.740234,17118.070313,17172.130859,17172.130859,1989910700
2023-10-24,17053.150391,17139.529297,16879.660156,16991.529297,16991.529297,2116174000
2023-10-25,17465.429688,17465.820313,17001.429688,17085.330078,17085.330078,2499934100
2023-10-26,17085.119141,17174.080078,16917.220703,17044.609375,17044.609375,1967215900
2023-10-27,17160.230469,17497.720703,17078.240234,17398.730469,17398.730469,2452090300
2023-10-30,17225.650391,17406.359375,17225.650391,17406.359375,17406.359375,2665231300
2023-10-31,17337.699219,17337.699219,17042.099609,17112.480469,17112.480469,2112803500
2023-11-01,17139.400391,17188.849609,16979.259766,17101.779297,17101.779297,1529284000
2023-11-02,17282.390625,17459.429688,17176.009766,17230.589844,17230.589844,1802714600
2023-11-03,17405.910156,17729.429688,17352.599609,17664.119141,17664.119141,1998722400
2023-11-06,17913.539063,18037.939453,17899.349609,17966.589844,17966.589844,2764092100
2023-11-07,17850.589844,17890.630859,17658.910156,17670.160156,17670.160156,1971243300
2023-11-08,17650.509766,17753.589844,17537.199219,17568.460938,17568.460938,2140777800
2023-11-09,17553.259766,17617.269531,17457.000000,17511.289063,17511.289063,1643795500
